Martin Abadi, UC Santa Cruz and Microsoft Research
Matteo Maffei, Saarland University
Michael Bailey, University of Michigan
Z. Morley Mao, University of Michigan
Herbert Bos, Vrije Universiteit Amsterdam 
Jonathan McCune, Google
Lujo Bauer, Carnegie Mellon University
Patrick McDaniel, Pennsylvania State University
David Brumley, Carnegie Mellon University 
John Mitchell, Stanford University
Juan Caballero, IMDEA Software Institute  
Arvind Narayanan, Princeton University
Srdjan Capkun, ETH Zurich      
Peng Ning, North Carolina State University
Shuo Chen, Microsoft Research  
Cristina Nita-Rotaru, Purdue University
Yan Chen, Northwestern University
Bryan Parno, Microsoft Research
Weidong Cui, Microsoft Research
Roberto Perdisci, University of Georgia
Robert Cunningham, MIT Lincoln Laboratory
Niels Provos, Google
George Danezis, Microsoft Research
Thomas Ristenpart, University of Wisconsin
Anupam Datta, Carnegie Mellon University
Will Robertson, Northeastern University
William Enck, North Carolina State University
Ahmad-Reza Sadeghi, Technical University of Darmstadt
David Evans, University of Virginia
David Sands, Chalmers University of Technology
Nick Feamster, Georgia Institute of Technology
R. Sekar, Stony Brook University
Debin Gao, Singapore Management University
Simha Sethumadhavan, Columbia University
Deepak Garg, MPI-SWS Kapil Singh, IBM Research
Virgil Gligor, Carnegie Mellon University
Radu Sion, Stony Brook University
Guofei Gu, Texas A&M University
Robin Sommer, ICSI/LBNL
Thorsten Holz, Ruhr-University Bochum
Paul Syverson, Naval Research Labs
Seny Kamara, Microsoft Research
Patrick Traynor, Georgia Institute of Technology
Yongdae Kim, KAIST     
Venkat Venkatakrishnan, University of Illinois, Chicago
Engin Kirda, Northeastern University
Giovanni Vigna, UC Santa Barbara
Christopher Kruegel, UC Santa Barbara
Helen Wang, Microsoft Research
Ruby Lee, Princeton University
XiaoFeng Wang, Indiana University
Ninghui Li, Purdue University
Yinglian Xie, Microsoft Research
Benjamin Livshits, Microsoft Research
Wei Zou, Peking University
John Lui, Chinese University of Hong Kong
