Martin Abadi,  UC Santa Cruz & Microsoft; Univ. of California at Santa Cruz; UC Santa Cruz & Microsoft Research, CCS 2009, CCS 2008, CCS 2007
Carlisle Adams,  University of Ottawa, CCS 2006
Ben Adida,  Harvard University, CCS 2010, CCS 2008
Shweta Agrawal, Indian Institute of Technology, CCS 2016
Gail-Joon Ahn, Arizona State University; Arizona State University; UNC Charlotte, CCS 2016, CCS 2015, CCS 2013, CCS 2007
Ehab Al-Shaer, University of North Carolina at Charlotte; University of North Carolina at Charlotte, CCS 2015, CCS 2014
Martin Albrecht, Royal Holloway, CCS 2016
Paul Ammann,  George Mason University, CCS 2004
Kostas Anagnostakis,  I2R/A-STAR, CCS 2009
Ross Anderson,  University of Cambridge, CCS 2014
Manos Antonakakis, Georgia Institute of Technology, CCS 2016, CCS 2015
Bill Arbaugh,  University of Maryland, CCS 2013
Frederik Armknecht, University of Mannheim; University of Mannheim, CCS 2016, CCS 2015, CCS 2014
Mikhail Atallah,  Purdue University, CCS 2013, CCS 2008, CCS 2007
Giuseppe Ateniese,  Sapienza – University of Rome; Sapienza-University of Rome and Johns Hopkins University; The Johns Hopkins University; Johns Hopkins University, CCS 2014, CCS 2013, CCS 2012, CCS 2008, CCS 2007, CCS 2006
Vijay Atluri,  Rutgers University, CCS 2008, CCS 2007, CCS 2006
Erman Ayday, Bilkent University, CCS 2016
Michael Backes, Saarland University & MPI-SWS;Saarland Univ. and MPI-SWS; Saarland Univ. and MPI-SWS; Saarland University, CCS 2016, CCS 2015, CCS 2012, CCS 2011, CCS 2006
Davide Balzarotti, Eurecom;EURECOM; EURECOM, CCS 2016, CCS 2015, CCS 2014
Paul Barford,  University of Wisconsin, CCS 2008
Adam Barth,  Stanford; UC Berkeley, CCS 2012, CCS 2010
Gilles Barthe, IMDEA Software Institute, CCS 2015
David Basin,  ETH Zurich, CCS 2013, CCS 2012, CCS 2005, CCS 2004
Lujo Bauer,  Carnegie Mellon University, CCS 2014, CCS 2013
Birgit Baum-Waidner,  IBM Research, CCS 2004
Giampaolo Bella,  Università di Catania, CCS 2006
Emery Berger,  U of Mass, CCS 2010
Elisa Bertino,  Università di Milano, CCS 2004
Konstantin Beznosov, University of British Columbia; University of British Columbia; U. of British Columbia; U British Columbia, CCS 2015, CCS 2013, CCS 2012, CCS 2009
Karthikeyan Bhargavan, INRIA, CCS 2016, CCS 2015
Alex Biryukov, University of Luxembourg, CCS 2016, CCS 2015
Matt Bishop,  University of California at Davis, CCS 2013
John Black,  University of Colorado, CCS 2006
Bruno Blanchet,  CNRS, CCS 2012, CCS 2011, CCS 2010
Marina Blanton, University of Notre Dame; University of Notre Dame, CCS 2016, CCS 2015, CCS 2014
Alexandra Boldyreva, Georgia Institute of Technology; Georgia Institute of Technology, CCS 2016, CCS 2012
Piero Bonatti,  Università di Napoli, CCS 2004
Dan Boneh,  Stanford; Stanford University, CCS 2011, CCS 2009, CCS 2007, CCS 2005
Joseph Bonneau, Stanford University & EFF, CCS 2015
Steve Borbash,  Department of Defense, CCS 2010, CCS 2009
Nikita Borisov, University of Illinois at Urbana-Champaign; University of Illinois at Urbana-Champaign; UIUC; University of Illinois, CCS 2015, CCS 2012, CCS 2011, CCS 2010, CCS 2008, CCS 2006
Herbert Bos, Vrije Universiteit / VU University Amsterdam; VU, CCS 2016, CCS 2011
David Brumley,  Carnegie Mellon University, CCS 2013
Elie Bursztein, Google, CCS 2016
Kevin Butler, University of Florida; University of Florida; University of Oregon, CCS 2016, CCS 2015, CCS 2014, CCS 2013
Juan Caballero, IMDEA Software Institute, CCS 2016, CCS 2015
Christian Cachin, IBM Research; IBM Research, CCS 2015, CCS 2014
Jan Camenisch,  IBM Research; IBM Research Zurich, CCS 2013, CCS 2012, CCS 2006, CCS 2005
Jean Camp,  Indiana University, CCS 2009, CCS 2008
Yinzhi Cao, Lehigh University, CCS 2016
